OBJECTID,CHITRT0_,CHITRT0_ID,TRACT,STATE,COUNTY,CNTYTRT,POPU,Dist_5_mi,Dist_10_mi,Dist_15_mi,Dist_20_mi,Beta_6,Beta_8,Beta_10,Beta_12,Beta_14,Beta_16,Beta_18,Dist
943,944,362,808302,17,31,31808302,3839,5.641607372,3.204524178,3.891728571,3.503416962,3.117458938,3.235618215,3.330554133,3.398094052,3.435601923,3.437628221,3.399376967,0
944,945,363,808200,17,31,31808200,5211,3.636019042,3.086855224,3.856782666,3.728717602,3.083711789,3.170410239,3.216403909,3.210802953,3.141071311,2.988712292,2.740863566,0
945,946,364,805402,17,31,31805402,5196,4.007649417,3.135119819,4.003556161,3.59188647,3.121586575,3.320731264,3.638559055,4.207200083,5.194957121,6.68591502,8.516364276,0
946,947,365,805401,17,31,31805401,3824,3.85835739,3.196222044,4.090198847,3.707306775,3.018030337,3.089552992,3.1274423,3.119928658,3.049602042,2.890970358,2.626069883,0
947,948,366,805902,17,31,31805902,6710,3.54004126,3.062360785,3.808725078,3.806345021,2.982313903,3.045695961,3.080695983,3.077460541,3.020072038,2.884033528,2.649490115,0
948,949,375,810100,17,31,31810100,4568,3.596017717,3.220748365,3.476944275,3.311592578,3.317181584,3.72760052,4.400388708,5.50392118,7.211410954,9.60958939,12.6205313,0
949,950,376,810000,17,31,31810000,4770,3.455816456,3.197552805,3.464531381,3.286796257,3.097629174,3.206731708,3.276811943,3.285345123,3.209890605,3.035604197,2.768648144,0
950,951,377,810302,17,31,31810302,3485,3.714236142,2.740841909,3.476944275,3.352367673,3.321403235,3.692503824,4.252670558,5.101716718,6.322604237,7.919271843,9.782875575,0
951,952,378,810301,17,31,31810301,4001,3.779926087,3.410994318,3.592888287,3.367102771,3.22766244,3.417651256,3.594712499,3.733396988,3.796326916,3.742123943,3.551469852,0
952,953,379,807600,17,31,31807600,6350,3.946060508,3.789609404,3.774215716,3.409220468,3.212363492,3.356643228,3.449590091,3.45748841,3.343094162,3.078327195,2.673098944,0
953,954,380,807500,17,31,31807500,3232,3.899641794,3.260970273,3.775338942,3.409725565,3.22766895,3.426679074,3.63127769,3.82496132,3.960025028,3.949225723,3.717837973,0
954,955,381,807400,17,31,31807400,6273,3.899641794,3.193704455,3.771108723,3.39195191,3.193401613,3.3553001,3.497245271,3.596555182,3.612087157,3.486086129,3.185409649,0
955,956,382,806400,17,31,31806400,2688,3.349727071,2.917963664,3.815770422,3.76419807,2.892214925,2.916864563,2.912016842,2.873310945,2.795367425,2.670459248,2.495571609,0
956,957,389,810200,17,31,31810200,6202,3.752725524,3.782309462,3.500928575,3.291177378,3.204980739,3.387574817,3.564199067,3.719027391,3.82713448,3.856650589,3.784430416,0
957,958,390,807800,17,31,31807800,2757,4.904223246,3.453809807,3.929159584,3.631383749,3.157769802,3.24585029,3.261192964,3.179973286,2.987807203,2.687542164,2.308373695,0
958,959,391,807700,17,31,31807700,5652,4.949597566,3.403902364,3.89257878,3.502068255,3.160878874,3.264061411,3.304589389,3.257142026,3.101100306,2.82896144,2.461262127,0
959,960,394,805502,17,31,31805502,3983,4.028022657,3.369755959,4.029510822,3.773317839,3.124446079,3.25859042,3.385266396,3.500880885,3.588643389,3.60562717,3.494210165,0
960,961,395,805501,17,31,31805501,3446,3.55566563,3.406590502,4.023003636,3.74392554,3.163992688,3.387737158,3.698498878,4.144223447,4.750768136,5.464915727,6.120925021,0
961,962,397,805802,17,31,31805802,4769,3.55566563,3.409868762,4.11032333,3.759388161,3.401694859,4.0298829,5.263695341,7.636511652,11.87230671,18.6011621,27.79160794,0
962,963,398,806502,17,31,31806502,4126,2.759507431,3.37454847,3.671335184,3.77931925,2.928765605,2.954525725,2.940208593,2.878267474,2.760760354,2.578634072,2.330556517,0
963,964,399,805801,17,31,31805801,2564,3.370849278,3.462878624,3.691720315,3.774574255,3.01041063,3.097878967,3.175964078,3.243781344,3.289607947,3.279327571,3.164383275,0
964,965,401,10100,17,31,31010100,5391,3.529606287,3.875539502,3.487844508,3.290138894,3.100034797,3.182798205,3.198545367,3.118630093,2.92428689,2.618854877,2.236057508,0
965,966,402,806501,17,31,31806501,2859,2.70514742,2.84949839,3.631767268,3.78775562,2.879990605,2.883214359,2.846028821,2.76756516,2.65360915,2.5174947,2.3842538,0
966,967,405,10200,17,31,31010200,10706,3.730772796,3.946494477,3.500928575,3.290821354,3.17344048,3.292258227,3.348320653,3.308918112,3.149088746,2.866282798,2.491635444,0
967,968,406,10300,17,31,31010300,6649,3.115174387,3.946494477,3.441674172,3.290138894,3.1111201,3.18804578,3.188781154,3.083716297,2.85687079,2.519391794,2.115001676,0
968,969,407,20100,17,31,31020100,3634,3.796462741,4.061860696,3.500928575,3.309710457,3.22356205,3.379197421,3.488225462,3.51895004,3.441902777,3.243423122,2.940763757,0
969,970,408,20200,17,31,31020200,6349,3.914681165,3.995088258,3.58233336,3.333788607,3.247664925,3.414637336,3.537119186,3.583112528,3.52161582,3.336400926,3.043543224,0
970,971,410,90100,17,31,31090100,3461,4.138636566,3.711860756,4.036024051,3.697791139,3.121670459,3.230924222,3.307661211,3.340776915,3.313388657,3.19814662,2.970990427,0
971,972,413,808002,17,31,31808002,4694,4.473931111,4.38176122,3.742079573,3.437100733,3.272711901,3.414128958,3.481367664,3.441553397,3.272967343,2.976353285,2.581925152,0
972,973,414,808001,17,31,31808001,3585,4.368711897,4.253689199,3.793081868,3.556128123,3.312297354,3.554587083,3.870996208,4.369425798,5.230324874,6.658233494,8.735823052,0
973,974,415,807900,17,31,31807900,4080,4.777896612,3.990012622,3.832052053,3.722215475,3.235970563,3.35554902,3.403796751,3.357734524,3.205878369,2.953790081,2.627019384,0
974,975,416,120100,17,31,31120100,4111,3.634961945,4.273626436,3.956794454,3.764567368,3.194237511,3.292444266,3.320647215,3.261768928,3.110912623,2.879276297,2.595605978,0
975,976,419,10400,17,31,31010400,5325,3.658242956,3.962182979,3.495668018,3.309859764,3.147434081,3.223354366,3.207028007,3.065186391,2.785033994,2.389919207,1.939208521,0
976,977,420,10500,17,31,31010500,10944,3.658242956,4.082133716,3.495668018,3.309859764,3.176940243,3.272881242,3.283781677,3.175506958,2.931424928,2.568890907,2.142052397,0
